epoch,train_loss,train_accuracy,val_loss,val_accuracy,gradient_norm,weight_norm,weight_change
1,1.9872711263275147,28.796,1.562628134727478,40.71,1.3440872664414003,93.93007025470696,28.111361861258917
2,1.4096835340118408,47.908,1.212962691116333,55.95,1.1588011371132436,78.65982071727765,20.27724129765845
3,1.1224794356155396,59.584,1.0362594442367554,62.97,1.2011017740984047,66.96862403834605,18.11152526396138
4,0.9084435054397583,67.732,1.0520650119781494,64.71,1.3336007777945542,57.99501094839308,15.821773818124656
5,0.7674840224075318,72.968,0.8548985496520997,70.57,1.5379149839712225,51.445393255899,14.926276380753192
6,0.6667075021743775,76.974,0.6880627494812012,76.24,1.337872426951495,46.756633138289274,14.044111823202837
7,0.5951125493431091,79.39,0.8117915954589844,72.99,1.4562088583873039,43.466756775770875,13.414988493228845
8,0.5543250139427185,80.798,0.6665167939186096,76.75,1.5943049387142378,41.42900640923212,13.40610183246221
9,0.5165052569961548,82.276,0.7166893856048584,76.39,1.794962787121763,40.213234801572355,13.565530214754423
10,0.49760098642349243,82.942,0.6207769006729126,78.87,1.784861332841628,39.68481244112277,13.884982564298621
11,0.4824176669883728,83.424,0.5494496485710144,80.94,1.8671979899296047,39.61040511575586,14.120276244596429
12,0.4585985816574097,84.296,0.5576189083576203,81.69,1.58579448490553,39.56695468141111,14.238658494364747
13,0.4508552772712707,84.656,0.5300062072277069,81.97,1.7004390500870539,39.737651259249816,14.524248695770794
14,0.4341375374221802,85.018,0.5592564545631409,81.44,2.137503775389733,39.93596176601501,14.752291599965538
15,0.4251212761116028,85.544,0.5940265382766724,79.83,1.4407051183616777,40.15074141817448,14.86974554801123
16,0.41788846723556516,85.718,0.6200676055908203,79.68,2.096108231533183,40.237846935410445,14.931306561316871
17,0.4094405692577362,86.044,0.5918447573661805,81.11,1.6915801527337997,40.53788565076147,15.175358235370418
18,0.4042132961654663,86.182,0.4975020077705383,83.17,1.8210682895261647,40.76145715044446,15.199411945209532
19,0.39183746044158935,86.618,0.895790916633606,73.41,1.7170719979436537,40.94034894466913,15.457587712549135
20,0.39342879972457884,86.544,0.6257038676261902,79.79,1.7227863166129833,41.269772803610465,15.66702756713974
21,0.38216232484817503,87.16,0.8530510087966919,72.44,1.2474839685153427,41.27944092953767,15.607593988486988
22,0.37262514723777773,87.29,0.5664732229232788,80.97,1.563948276995743,41.452238585842956,15.852052367860848
23,0.3832634541225433,86.77,0.5496938689231873,81.77,1.497630601944937,41.79399773278178,16.085096923423677
24,0.37513997595787046,87.16,0.5411423623085022,82.74,1.6680221486755253,41.90502275041692,16.056733494970036
25,0.3661243577480316,87.484,0.5547222785949707,81.54,1.7447550876950215,42.09941407622404,16.198347732426836
26,0.366190557346344,87.502,0.5146022651672363,82.63,2.5491727566068807,42.196123024955995,16.22852704930236
27,0.36073332765579225,87.654,0.5972616293907166,80.04,1.9903489313062563,42.34534106122545,16.332342249619362
28,0.35953855028152465,87.774,0.5822919746398926,80.98,1.6418170518467945,42.36369032039836,16.32941892193676
29,0.3560134713077545,87.814,0.4945058159828186,83.55,1.5775939005164044,42.44229788189486,16.42136129805411
30,0.3548147256183624,87.956,0.5197780354976654,82.34,1.478160078072019,42.56404888347675,16.541411934058765
31,0.3575924311256409,87.982,0.48095845880508425,84.16,1.899603804521232,42.79791254203372,16.714981465878044
